file	line	property	value	selectors	atRules	suppressed
server/public/css/style.css	6	color-scheme	dark	:root		false
server/public/css/style.css	7	--bg	#0f1420	:root		false
server/public/css/style.css	8	--bg-elevated	#171e2e	:root		false
server/public/css/style.css	9	--bg-elevated-2	#1e2740	:root		false
server/public/css/style.css	12	--border	rgba(122, 141, 195, 0.21)	:root		false
server/public/css/style.css	13	--text	#eef1f8	:root		false
server/public/css/style.css	14	--text-muted	#8b93a7	:root		false
server/public/css/style.css	15	--accent	#5b8cff	:root		false
server/public/css/style.css	16	--accent-2	#9163f5	:root		false
server/public/css/style.css	17	--accent-3	#ef5da8	:root		false
server/public/css/style.css	18	--accent-gradient	linear-gradient(135deg, var(--accent) 0%, var(--accent-2) 55%, var(--accent-3) 100%)	:root		false
server/public/css/style.css	19	--color-wheel-gradient	conic-gradient(\n    var(--danger),\n    var(--state-paused),\n    var(--state-playing),\n    var(--accent),\n    var(--accent-2),\n    var(--accent-3),\n    var(--danger)\n  )	:root		false
server/public/css/style.css	28	--accent-text	#ffffff	:root		false
server/public/css/style.css	32	--accent-bg	rgba(91, 140, 255, 0.16)	:root		false
server/public/css/style.css	33	--rank-1-gold	#ffd166	:root		false
server/public/css/style.css	34	--danger	#ef4444	:root		false
server/public/css/style.css	35	--danger-bg	rgba(239, 68, 68, 0.15)	:root		false
server/public/css/style.css	36	--state-playing	#22c55e	:root		false
server/public/css/style.css	37	--state-playing-bg	rgba(34, 197, 94, 0.16)	:root		false
server/public/css/style.css	38	--state-paused	#f59e0b	:root		false
server/public/css/style.css	39	--state-paused-bg	rgba(245, 158, 11, 0.16)	:root		false
server/public/css/style.css	40	--state-offline	#9ca3af	:root		false
server/public/css/style.css	41	--state-offline-bg	rgba(107, 114, 128, 0.16)	:root		false
server/public/css/style.css	42	--radius-sm	8px	:root		false
server/public/css/style.css	43	--radius	14px	:root		false
server/public/css/style.css	44	--radius-lg	20px	:root		false
server/public/css/style.css	45	--motion-fast	0.15s ease	:root		false
